html_line,old_start,old_end,html_text,new_start,new_end,new_text,match_score,txt_match,txt_score,is_scripture,flag,notes
125,0,2,The Genesis Melody,0,2,"The Genesis melody, a quick forward.",0.692,﻿The Genesis Melody,1.000,,HEADING_SKIP,
128,2,3,A Quick Foreword,0,2,"The Genesis melody, a quick forward.",0.560,A Quick Foreword,1.000,,HEADING_SKIP,
129,3,5,Hey. Hi.,3,4,"Hey, hi.",1.000,,0.471,,HEADING_SKIP,
129,5,9,"Before we get started, I wanted to let you know that I love you.",5,8,"Before we get started, I wanted to let you know that I love you.",1.000,,0.472,,OK+WHISPER_CHECK,
129,9,14,"Yes, that’s extremely awkward to say in our generation, but it really shouldn’t be.",8,12,"Yes, that's extremely awkward to say in our generation, but it really shouldn't be.",1.000,,0.413,,OK+WHISPER_CHECK,
130,14,21,"Of course, I don’t know you, and we’ve never met. So my love for you is a bit limited, but you are an image of God like me,",13,22,"Of course, I don't know you, and we've never met, so my love for you is a bit limited, but you are an image of God like me, so I love you.",0.943,,0.414,,TEXT_CHANGED+WHISPER_CHECK,
133,21,22,so… I love you.,787,788,"No, of course not.",0.483,,0.538,,HEADING_SKIP,
134,22,25,"Oops, I said it again.",22,23,"Oops, I said it again.",1.000,,0.511,,OK+WHISPER_CHECK,
134,25,36,"My goal here is not to convince you of anything at all, but to invite you to receive a gift from God in His Word, so that we can know|love Him more.",24,33,"My goal here is not to convince you of anything at all, but to invite you to receive a gift from God in His Word so that we can know, love Him more.",0.997,,0.339,,OK+WHISPER_CHECK,
138,36,38,Introduction and Motivation,35,36,Introduction and motivation.,1.000,Introduction and Motivation,1.000,,HEADING_SKIP,
139,38,41,This guide is organized into three main sections:,37,40,This guide is organized into three main sections.,1.000,This guide is organized into three main sections:,1.000,,OK,
141,41,45,Introduction and Motivation - The part you are about to read.,41,42,Introduction and motivation.,0.982,1. Introduction and Motivation - The part you are about to read.,0.983,,TEXT_CHANGED,
142,45,46,Melody Observations,45,45,Melody observations.,1.000,Melody Observations,1.000,,HEADING_SKIP,
142,46,51,"- A detailed look at Genesis 1-22, broken into three parts:",46,51,A detailed look at Genesis 1 through 22 broken into three parts.,0.923,"2. Melody Observations - A detailed look at Genesis 1-22, broken into three parts:",0.831,,TEXT_CHANGED,
145,51,54,Genesis 1-7 : The Template of the Melody,52,54,"Genesis 1 through 7, the template of the melody.",0.892,1. Genesis 1-7: The Template of the Melody,0.974,,TEXT_CHANGED,
146,54,57,Genesis 8-11 : The Second Round of the Melody,55,58,"Genesis 8 through 11, the second round of the melody.",0.903,Genesis 8-11: The Second Round of the Melody,1.000,,TEXT_CHANGED,
147,57,64,Genesis 11:27-22:19 : Cycles Three to Seven with Avraham,59,64,"Genesis 11, 27 through 22 19, cycles 3 to 7 with Abraham.",0.762,Genesis 11:27-22:19: Cycles Three to Seven with Avraham,1.000,,LOW_CONFIDENCE,
149,64,71,"From there, the guide naturally pivots on the details of the seventh cycle’s collapse and re-creation moments.",65,71,"From there, this guide will pivot when we read the details of the seventh cycles, collapse, and recreation moments.",0.885,,0.533,,TEXT_CHANGED+WHISPER_CHECK,
149,71,79,"In the final section, we’ll dive into that narrative and see how Avraham’s Test connects to Jesus.",715,725,"For the purposes of this guide, we will consider a four-part melody that is repeated seven times from Genesis 1 through 22.",0.430,,0.425,,MANUAL_REVIEW,
151,79,81,The Melody Points to Jesus,82,84,"Part 3, the melody points to Jesus.",0.881,The Melody Points to Jesus,1.000,,TEXT_CHANGED,
151,81,86,"- When you read the Bible, it’s tempting to read only the Gospels and New Testament letters.",85,91,"When you read the Bible, it's tempting to read only the parts about Jesus and the early church.",0.760,,0.464,,LOW_CONFIDENCE+WHISPER_CHECK,
151,86,92,"However, God’s grand song is best experienced when the Old Testament paves the way.",91,98,"However, God's grand song is best experience when the Old Testament paves the way.",0.994,,0.444,,OK+WHISPER_CHECK,
151,92,93,This guide is the same.,98,100,This guide is the same.,1.000,,0.571,,OK+WHISPER_CHECK,
151,93,100,"You should expect to enjoy the final section about Jesus the most, but do try to read the earlier sections first.",100,107,"You should expect to enjoy the final section about Jesus the most, but do try to read the earlier sections first?",1.000,,0.393,,OK+WHISPER_CHECK,
151,100,106,Think of it like a movie: the climax means more when you haven’t skipped the first hour.,108,109,Think of it like a movie.,1.000,,0.463,,TEXT_CHANGED+WHISPER_CHECK,
153,106,107,Summary,714,715,Structure.,0.375,Summary,1.000,,HEADING_SKIP,
154,107,111,"When you approach the Bible, what do you see there?",118,121,"When you approach the Bible, what do you see there?",1.000,,0.454,,OK+WHISPER_CHECK,
154,111,113,"Well, what do you expect to see there?",122,123,"Well, what do you expect to see there?",1.000,,0.545,,OK+WHISPER_CHECK,
154,113,119,Our expectations are often at odds with our ability to simply receive the message.,124,129,Our expectations are often at odds with our ability to simply receive the message.,1.000,,0.421,,OK+WHISPER_CHECK,
