section,section_id,change_type,similarity,html_text,txt_text
Introduction and Motivation,introduction-and-motivation,modified,0.98,Introduction and Motivation - The part you are about to read.,1. Introduction and Motivation - The part you are about to read.
Introduction and Motivation,introduction-and-motivation,modified,0.96,Genesis 1-7: The Template of the Melody,1. Genesis 1-7: The Template of the Melody
Introduction and Motivation,introduction-and-motivation,modified,0.97,Genesis 8-11: The Second Round of the Melody,2. Genesis 8-11: The Second Round of the Melody
Introduction and Motivation,introduction-and-motivation,modified,0.97,Genesis 11:27-22:19: Cycles Three to Seven with Avraham,3. Genesis 11:27-22:19: Cycles Three to Seven with Avraham
Introduction and Motivation,introduction-and-motivation,modified,0.22,"From there, the guide naturally pivots with the details of the seventh cycle's collapse and re-creation moments. The seventh cycle points to Jesus, so we'll dive into that for the final section.","From there, the guide naturally pivots on the details of the seventh cycle's collapse and re-creation moments. In the final section, we'll dive into that narrative and see how Avraham's Test connects to Jesus."
Summary,summary,modified,0.49,"When you approach the Bible, what do you see there? Well, what do you expect to see there? Sadly, our expectations often block our ability to simply receive the message these authors were communicating. This guide will focus on reading Genesis 1-2 trying to see patterns. The goal is to approach the text as a blank slate. To be honest, I can't actually do that fully either, but that's the mindset we want to use. What is the Bible and what will we find there if we try to read it like little children?","When you approach the Bible, what do you see there? Well, what do you expect to see there? Our expectations are often at odds with our ability to simply receive the message. This guide will focus on reading Genesis 1-2 trying to see patterns. The goal is to approach the text as a blank slate. To be honest, I'm not capable of doing that either, but it's important to know the mindset we are seeking for. Shaping the Bible to meet our expectations is rather pointless. The goal is to open ourselves up, so that we can be shaped by the Bible. What would we find there if we tried to read it like little children?"
Why Study the Melody,why-study-the-melody,modified,0.25,"16:2 And Sarai said to Avram, ""Look, please! Yahweh has restrained me from giving birth. Please, go into my slave-girl. Perhaps I can be built up by means of her."" And Avram listened to the voice of Sarai.","16:2 And Sarai said to Avram,"
Why Study the Melody,why-study-the-melody,modified,0.20,"3 And Sarai, the wife of Avram took Hagar, her Egyptian slave-girl, at the end of ten years of Avram dwelling in the land of Canaan, and she gave her to Avram her husband as a wife.","""Look, please! Yahweh has restrained me from giving birth."
Why Study the Melody,why-study-the-melody,modified,0.15,"4 And he went into Hagar and she became pregnant,and she saw that she was pregnant,and her mistress became cursed in her eyes.","Please, go into my slave-girl."
Why Study the Melody,why-study-the-melody,added_in_txt,0.00,,"Perhaps I can be built up by means of her."""
